,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
76,Census Tract 52.05,26765,005205,2070,1648,1383,0.668115942029,1101.05507246,308,0.148792270531,245.209661836,0,0.0,0.0,190,0.0917874396135,151.265700483,0,0.0,0.0,101,0.0487922705314,80.4096618357,88,0.0425120772947,70.0599033816
77,Census Tract 53.01,11572,005301,1064,741,458,0.43045112782,318.964285714,304,0.285714285714,211.714285714,21,0.0197368421053,14.625,26,0.0244360902256,18.1071428571,0,0.0,0.0,132,0.124060150376,91.9285714286,123,0.115601503759,85.6607142857
78,Census Tract 54.02,40349,005402,2603,2379,1782,0.684594698425,1628.65078755,175,0.0672301190934,159.940453323,6,0.00230503265463,5.48367268536,276,0.106031502113,252.248943527,0,0.0,0.0,251,0.0964271993853,229.400307338,113,0.0434114483289,103.275835574
79,Census Tract 54.03,73125,005403,2264,2154,1711,0.75574204947,1627.86837456,83,0.0366607773852,78.9673144876,0,0.0,0.0,222,0.0980565371025,211.213780919,4,0.0017667844523,3.80565371025,227,0.100265017668,215.970848057,17,0.00750883392226,16.1740282686
80,Census Tract 54.04,74547,005404,5340,4557,4384,0.820973782772,3741.17752809,110,0.0205992509363,93.8707865169,11,0.00205992509363,9.38707865169,512,0.0958801498127,436.925842697,0,0.0,0.0,172,0.0322097378277,146.779775281,151,0.0282771535581,128.858988764
81,Census Tract 55.02,30424,005502,5260,3934,2553,0.48536121673,1909.41102662,321,0.0610266159696,240.078707224,95,0.0180608365019,71.0513307985,460,0.0874524714829,344.038022814,5,0.000950570342205,3.73954372624,1385,0.263307984791,1035.85361217,441,0.0838403041825,329.827756654
82,Census Tract 55.05,31285,005505,5048,3639,2477,0.490689381933,1785.61866086,800,0.158478605388,576.703645008,105,0.0208003169572,75.6923534073,498,0.0986529318542,358.998019017,0,0.0,0.0,665,0.131735340729,479.384904913,503,0.0996434231379,362.602416799
83,Census Tract 55.06,27167,005506,3072,2313,1316,0.428385416667,990.85546875,752,0.244791666667,566.203125,13,0.00423177083333,9.7880859375,180,0.05859375,135.52734375,0,0.0,0.0,506,0.164713541667,380.982421875,305,0.0992838541667,229.643554688
84,Census Tract 55.08,43910,005508,3329,2902,2100,0.630820066086,1830.63983178,220,0.0660859116852,191.78131571,79,0.0237308501051,68.8669270051,419,0.12586362271,365.256233103,0,0.0,0.0,271,0.0814058275758,236.239711625,240,0.0720937218384,209.215980775
85,Census Tract 55.09,35000,005509,1859,1589,823,0.442711135019,703.467993545,282,0.151694459387,241.042495966,29,0.0155997848306,24.7880580958,328,0.17643894567,280.361484669,0,0.0,0.0,224,0.120494889726,191.466379774,173,0.0930607853685,147.873587951
86,Census Tract 55.10,39530,005510,4108,3644,2566,0.624634858812,2276.16942551,665,0.161879259981,589.888023369,15,0.00365141187926,13.305744888,423,0.102969814995,375.222005842,0,0.0,0.0,306,0.0744888023369,271.437195716,133,0.0323758519961,117.977604674
87,Census Tract 56.01,43525,005601,4830,3923,3619,0.749275362319,2939.40724638,719,0.148861283644,583.982815735,0,0.0,0.0,119,0.0246376811594,96.6536231884,0,0.0,0.0,90,0.0186335403727,73.099378882,283,0.0585921325052,229.856935818
